smiles,homolumogap,C_count,N_count,O_count,S_count,X_count,pi_bonds,Predicted_esm,Predicted_Exp
CC(C)c1cccc(C(C)C)c1N1C(=O)c2cccc3c(Oc4ccc(Cl)cc4)ccc(c23)C1=O,3.451041667,30,1,3,0,1,25,19.77624016,3.019897126
N#Cc1c(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc(-c2cccs2)cc1N1CCCCC1,3.075185644,36,3,0,1,0,31,19.77624016,2.743297126
COc1cc(/C=C/CO)ccc1O,4.211440678,10,0,3,0,0,7,13.35239391,3.697790969
Cc1cc2c3ccccc3n(C)c2c2c1c1ccccc1n2C,3.776215805,21,2,0,0,0,24,17.18153054,3.336198161
COc1ccc(OC)cc1,4.34085825,8,0,2,0,0,6,12.57030707,3.760271669
CC1(C)c2ccccc2N(c2cc[n+]3c(c2)-c2ccccc2O[B-]3(F)F)c2ccccc21,3.470321229,26,2,1,0,2,24,14.91393433,3.019529504
Cc1c(COC(=O)Cc2cccc3ccccc23)n2c(OCC(=O)Cc3cccc4ccccc34)c(C)c(=O)n2c1=O,3.278034301,34,2,6,0,0,35,19.77624016,2.835497126
COc1cc2c(cc1-c1ccccc1)Cc1c3c(c4c(c1-2)-c1cc(OC)c(-c2ccccc2)cc1C4)C(=O)N(CCC(C)C)C3=O,3.067592593,41,1,4,0,0,32,19.77624016,2.512797126
O=C(c1ccncc1)c1cc(-n2c3ccccc3c3ccccc32)ccc1-n1c2ccccc2c2ccccc21,3.1059375,36,3,1,0,0,43,19.77624016,2.743297126
CC(C)c1cccc(C(C)C)c1N1C(=O)c2cccc3c(Oc4ccccc4)ccc(c23)C1=O,3.413118132,30,1,3,0,0,25,19.77624016,3.019897126
c1ccc(N(c2ccccc2)c2ccc(-c3cccc4nc5ccccc5cc34)cc2)cc1,3.218588083,31,2,0,0,0,34,19.77624016,2.973797126
CC(C)=N[O-],4.688207547,3,1,1,0,0,1,14.79536343,4.07532381
O=C1CC(=O)Nc2cc(Cl)ccc2N1,4.169043624,9,2,2,0,1,8,12.40067045,3.707725477
c1ccc2[nH]ncc2c1,4.225765306,7,2,0,0,0,10,11.85571007,3.779216983
Cc1cc(-c2ccc(C(C)(C)C)cc2)c2nsnc2c1-c1ccc(N(c2ccccc2)c2ccccc2)cc1,3.090485075,35,3,0,1,0,34,19.77624016,2.789397126
COc1ccc(/C=C/c2cc(/C=C/c3ccc(OC)cc3)nc(/C=C/c3ccc(C(F)(F)F)cc3)n2)cc1,3.35777027,31,2,2,0,3,27,19.77624016,2.973797126
CCCCCCCCCCCCCCCCCCN1C(=O)c2cccc3c(OCCN(C)C)ccc(c23)C1=O,3.413118132,34,2,3,0,0,13,19.77624016,2.835497126
c1cc2sc3ccsc3c2s1,4.269329897,8,0,0,3,0,13,11.24607562,3.709950873
Cc1ccc(C(=O)[O-])c(O)c1,4.211440678,8,0,3,0,0,7,12.7883934,3.768558949
O=C1CC(=O)Nc2cc(Br)ccc2N1,4.155100334,9,2,2,0,1,8,13.06434319,3.732945041
CI,4.796814672,1,0,0,0,1,0,19.77624016,4.356797126
Nc1cc[nH]c(=S)n1,4.343968531,4,3,0,1,0,7,11.51816022,3.904690088
Nc1ncc2nc[nH]c2n1,4.284051724,5,5,0,0,0,10,12.03851905,3.878363724
COC(=O)c1nc(Br)c(-c2ccccc2)o1,4.046824104,11,1,3,0,1,12,13.15733704,3.644278807
C[Si](C)(C)C#Cc1cccc2ccccc12,3.931566456,15,0,0,0,0,12,12.54527591,3.436620485
C(#Cc1nc(C#Cc2cccs2)c(C#Cc2cccs2)c(C#Cc2cccs2)c1C#Cc1cccs1)c1cccs1,3.022810219,35,1,0,5,0,36,19.77624016,2.789397126
Clc1ccc(/C=C/c2ccncn2)cc1,4.00766129,12,2,0,0,1,13,12.05965935,3.556467055
OC1(c2ccc(-c3cccs3)s2)CCC1,4.033685065,12,0,1,2,0,10,12.32964117,3.566726364
COC(=O)/C(C#N)=C/c1cn(-c2ccccc2)nc1-c1ccc([N+](=O)[O-])cc1,3.580331412,20,4,4,0,0,21,18.65501342,3.43829051
COC(=O)c1ccc(-c2cc3ccc4cccc5ccc(c2)c3c45)cc1,3.413118132,24,0,2,0,0,26,18.84049642,3.260938864
CCCCCC(=O)c1cccc2sc3c(c12)P(=O)(c1ccccc1)c1ccccc1-3,3.460654596,26,0,2,1,0,24,13.10312919,2.950718909
O=C([O-])c1ccccc1O,4.197212838,7,0,3,0,0,7,12.29658113,3.795970083
COc1cc2c(cc1-c1ccc(N(C)C)cc1)Cc1c3c(c4c(c1-2)-c1cc(OC)c(-c2ccc(N(C)C)cc2)cc1C4)C(=O)N(CCC(C)C)C3=O,2.823579545,45,3,4,0,0,32,19.77624016,2.328397126
CC(=O)Nc1cc2ccc3cccc4ccc(c1)c2c34,3.697544643,18,1,1,0,0,20,13.17765403,3.322350853
[NH3+]c1cc([NH3+])cc(-c2nc3ccccc3s2)c1,3.944047619,13,3,0,1,0,16,11.76009447,3.49898359
Cc1ccc(-c2c3ccc([nH]3)c3nc(c(-c4ccc([N+](=O)[O-])cc4)c4ccc([nH]4)c4ccc([nH]4)c(-c4ccc(C)cc4)c4ccc2o4)C=C3)cc1,2.773158482,43,5,3,0,0,50,19.77624016,2.420597126
CCCCCCCCCCc1cc(-c2cc(CCCCCCCCCC)c(-c3cccs3)s2)sc1-c1cccs1,3.269407895,36,0,0,4,0,20,19.77624016,2.743297126
Cc1cc(C#Cc2ccccc2)c2ccc3c(C#Cc4ccccc4)cc(C#Cc4ccccc4)c4ccc1c2c43,2.791853933,41,0,0,0,0,40,19.77624016,2.512797126
N#Cc1cccc2[nH]ccc12,4.073360656,9,2,0,0,0,11,11.89035013,3.688333305
O=C1Nc2ccccc2/C1=C/C(=O)c1ccc(Cl)cc1,3.719685629,16,1,2,0,1,15,12.63985589,3.394114524
C(=C/c1nc2ccccc2s1)\c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,3.218588083,28,5,0,1,0,37,19.77624016,3.112097126
C(=N/c1ccc(-c2cn3nc(-c4cccs4)sc3n2)cc1)\c1ccc2ccc3cccc4ccc1c2c34,3.082816377,31,4,0,2,0,40,19.77624016,2.973797126
CN(C)c1ccc(C#Cc2cc3ccc4cc(C#Cc5ccc(N(C)C)cc5)cc5ccc(c2)c3c45)cc1,2.951009501,36,2,0,0,0,33,19.77624016,2.743297126
